geographical_location_oid,item_rank,item_name
1,1,item_0
2,1,item_1
3,1,item_2
4,1,item_3
5,1,item_4
6,1,item_5
7,1,item_6
8,1,item_7
9,1,item_8
10,1,item_9
11,1,item_10
12,1,item_11
13,1,item_12
14,1,item_13
15,1,item_14
16,1,item_15
17,1,item_16
18,1,item_17
19,1,item_18
20,1,item_19
21,1,item_20
22,1,item_21
23,1,item_22
24,1,item_23
25,1,item_24
26,1,item_25
27,1,item_26
28,1,item_27
29,1,item_28
30,1,item_29
31,1,item_30
32,1,item_31
33,1,item_32
34,1,item_33
35,1,item_34
36,1,item_35
37,1,item_36
38,1,item_37
39,1,item_38
40,1,item_39
41,1,item_40
42,1,item_41
43,1,item_42
44,1,item_43
45,1,item_44
46,1,item_45
47,1,item_46
48,1,item_47
49,1,item_48
50,1,item_49
51,1,item_50
52,1,item_51
53,1,item_52
54,1,item_53
55,1,item_54
56,1,item_55
57,1,item_56
58,1,item_57
59,1,item_58
60,1,item_59
61,1,item_60
62,1,item_61
63,1,item_62
64,1,item_63
65,1,item_64
66,1,item_65
67,1,item_66
68,1,item_67
69,1,item_68
70,1,item_69
71,1,item_70
72,1,item_71
73,1,item_72
74,1,item_73
75,1,item_74
76,1,item_75
77,1,item_76
78,1,item_77
79,1,item_78
80,1,item_79
81,1,item_80
82,1,item_81
83,1,item_82
84,1,item_83
85,1,item_84
86,1,item_85
87,1,item_86
88,1,item_87
89,1,item_88
90,1,item_89
91,1,item_90
92,1,item_91
93,1,item_92
94,1,item_93
95,1,item_94
96,1,item_95
97,1,item_96
98,1,item_97
99,1,item_98
100,1,item_99
